product_code,customer_code,market_code,order_date,sales_qty,sales_amount,currency,profit_margin_percentage,profit_margin,cost_price,date,cy_date,year,month_name,date_yy_mmm
Prod279,Cus020,Mark011,2020-01-02,1,102,INR,0.14,14.28,87.72,2020-01-02,2020-01-01,2020,January,"20-Jan"
Prod279,Cus020,Mark011,2020-01-08,1,102,INR,0.34,34.68,67.32,2020-01-08,2020-01-01,2020,January,"20-Jan"
Prod279,Cus020,Mark011,2020-01-09,1,102,INR,-0.16,-16.32,118.32,2020-01-09,2020-01-01,2020,January,"20-Jan"
Prod279,Cus020,Mark011,2020-01-10,1,102,INR,0.02,2.04,99.96,2020-01-10,2020-01-01,2020,January,"20-Jan"
Prod279,Cus020,Mark011,2020-01-20,1,102,INR,-0.1,-10.2,112.2,2020-01-20,2020-01-01,2020,January,"20-Jan"
Prod278,Cus020,Mark011,2020-01-03,1,102,INR,-0.05,-5.1,107.1,2020-01-03,2020-01-01,2020,January,"20-Jan"
Prod294,Cus020,Mark011,2020-01-08,1,102,INR,0.32,32.64,69.36,2020-01-08,2020-01-01,2020,January,"20-Jan"
Prod294,Cus020,Mark011,2020-01-17,1,102,INR,0.17,17.34,84.66,2020-01-17,2020-01-01,2020,January,"20-Jan"
Prod131,Cus020,Mark011,2020-01-15,1,102,INR,-0.29,-29.58,131.58,2020-01-15,2020-01-01,2020,January,"20-Jan"
Prod290,Cus020,Mark011,2020-01-15,1,102,INR,0.17,17.34,84.66,2020-01-15,2020-01-01,2020,January,"20-Jan"
Prod292,Cus020,Mark011,2020-01-15,1,102,INR,-0.19,-19.38,121.38,2020-01-15,2020-01-01,2020,January,"20-Jan"
Prod056,Cus020,Mark011,2020-01-16,1,102,INR,0.17,17.34,84.66,2020-01-16,2020-01-01,2020,January,"20-Jan"
Prod295,Cus020,Mark011,2020-01-17,1,102,INR,-0.13,-13.26,115.26,2020-01-17,2020-01-01,2020,January,"20-Jan"
Prod292,Cus020,Mark011,2020-01-21,1,102,INR,-0.18,-18.36,120.36,2020-01-21,2020-01-01,2020,January,"20-Jan"
Prod056,Cus020,Mark011,2020-01-27,1,102,INR,-0.16,-16.32,118.32,2020-01-27,2020-01-01,2020,January,"20-Jan"
Prod056,Cus020,Mark011,2020-01-31,1,102,INR,-0.13,-13.26,115.26,2020-01-31,2020-01-01,2020,January,"20-Jan"
Prod292,Cus020,Mark011,2020-02-02,1,102,INR,0,0,102,2020-02-02,2020-02-01,2020,February,"20-Feb"
Prod290,Cus020,Mark011,2020-02-02,1,102,INR,-0.33,-33.66,135.66,2020-02-02,2020-02-01,2020,February,"20-Feb"
Prod292,Cus020,Mark011,2020-02-04,1,102,INR,0.2,20.4,81.6,2020-02-04,2020-02-01,2020,February,"20-Feb"
Prod131,Cus020,Mark011,2020-02-07,1,102,INR,0.1,10.2,91.8,2020-02-07,2020-02-01,2020,February,"20-Feb"
Prod292,Cus020,Mark011,2020-02-13,1,102,INR,0.25,25.5,76.5,2020-02-13,2020-02-01,2020,February,"20-Feb"
Prod292,Cus020,Mark011,2020-02-19,1,102,INR,0.19,19.38,82.62,2020-02-19,2020-02-01,2020,February,"20-Feb"
Prod290,Cus020,Mark011,2020-02-19,1,102,INR,0.24,24.48,77.52,2020-02-19,2020-02-01,2020,February,"20-Feb"
Prod056,Cus020,Mark011,2020-02-20,1,102,INR,0.31,31.62,70.38,2020-02-20,2020-02-01,2020,February,"20-Feb"
Prod292,Cus020,Mark011,2020-02-20,1,102,INR,0.03,3.06,98.94,2020-02-20,2020-02-01,2020,February,"20-Feb"
Prod292,Cus020,Mark011,2020-02-21,1,102,INR,-0.05,-5.1,107.1,2020-02-21,2020-02-01,2020,February,"20-Feb"
Prod290,Cus020,Mark011,2020-02-24,1,102,INR,-0.3,-30.6,132.6,2020-02-24,2020-02-01,2020,February,"20-Feb"
Prod056,Cus020,Mark011,2020-02-27,1,102,INR,-0.24,-24.48,126.48,2020-02-27,2020-02-01,2020,February,"20-Feb"
Prod292,Cus020,Mark011,2020-03-02,1,102,INR,0.01,1.02,100.98,2020-03-02,2020-03-01,2020,March,"20-Mar"
Prod290,Cus020,Mark011,2020-03-09,1,102,INR,-0.31,-31.62,133.62,2020-03-09,2020-03-01,2020,March,"20-Mar"
Prod290,Cus020,Mark011,2020-03-10,1,102,INR,0.25,25.5,76.5,2020-03-10,2020-03-01,2020,March,"20-Mar"
Prod292,Cus020,Mark011,2020-03-10,1,102,INR,-0.07,-7.14,109.14,2020-03-10,2020-03-01,2020,March,"20-Mar"
Prod131,Cus020,Mark011,2020-03-10,1,102,INR,0.31,31.62,70.38,2020-03-10,2020-03-01,2020,March,"20-Mar"
Prod290,Cus020,Mark011,2020-03-11,1,102,INR,-0.27,-27.54,129.54,2020-03-11,2020-03-01,2020,March,"20-Mar"
Prod292,Cus020,Mark011,2020-03-11,1,102,INR,-0.17,-17.34,119.34,2020-03-11,2020-03-01,2020,March,"20-Mar"
Prod292,Cus020,Mark011,2020-03-12,1,102,INR,-0.1,-10.2,112.2,2020-03-12,2020-03-01,2020,March,"20-Mar"
Prod290,Cus020,Mark011,2020-03-13,1,102,INR,0.12,12.24,89.76,2020-03-13,2020-03-01,2020,March,"20-Mar"
Prod292,Cus020,Mark011,2020-03-13,1,102,INR,-0.28,-28.56,130.56,2020-03-13,2020-03-01,2020,March,"20-Mar"
Prod290,Cus020,Mark011,2020-03-23,1,102,INR,-0.14,-14.28,116.28,2020-03-23,2020-03-01,2020,March,"20-Mar"
Prod292,Cus020,Mark011,2020-03-24,1,102,INR,-0.16,-16.32,118.32,2020-03-24,2020-03-01,2020,March,"20-Mar"
Prod292,Cus020,Mark011,2020-04-01,1,102,INR,0.02,2.04,99.96,2020-04-01,2020-04-01,2020,April,"20-Apr"
Prod056,Cus020,Mark011,2020-04-02,1,102,INR,-0.34,-34.68,136.68,2020-04-02,2020-04-01,2020,April,"20-Apr"
Prod131,Cus020,Mark011,2020-04-02,1,102,INR,0.02,2.04,99.96,2020-04-02,2020-04-01,2020,April,"20-Apr"
Prod292,Cus020,Mark011,2020-04-02,1,102,INR,0.1,10.2,91.8,2020-04-02,2020-04-01,2020,April,"20-Apr"
Prod055,Cus020,Mark011,2020-04-02,1,102,INR,0.17,17.34,84.66,2020-04-02,2020-04-01,2020,April,"20-Apr"
Prod290,Cus020,Mark011,2020-04-03,1,102,INR,0,0,102,2020-04-03,2020-04-01,2020,April,"20-Apr"
Prod292,Cus020,Mark011,2020-04-03,1,102,INR,-0.08,-8.16,110.16,2020-04-03,2020-04-01,2020,April,"20-Apr"
Prod131,Cus020,Mark011,2020-04-06,1,102,INR,0.4,40.8,61.2,2020-04-06,2020-04-01,2020,April,"20-Apr"
Prod292,Cus020,Mark011,2020-04-10,1,102,INR,0.32,32.64,69.36,2020-04-10,2020-04-01,2020,April,"20-Apr"
Prod290,Cus020,Mark011,2020-04-14,1,102,INR,0.27,27.54,74.46,2020-04-14,2020-04-01,2020,April,"20-Apr"
Prod290,Cus020,Mark011,2020-04-20,1,102,INR,0.18,18.36,83.64,2020-04-20,2020-04-01,2020,April,"20-Apr"
Prod055,Cus020,Mark011,2020-04-21,1,102,INR,0.33,33.66,68.34,2020-04-21,2020-04-01,2020,April,"20-Apr"
Prod290,Cus020,Mark011,2020-04-21,1,102,INR,0.15,15.3,86.7,2020-04-21,2020-04-01,2020,April,"20-Apr"
Prod292,Cus020,Mark011,2020-04-21,1,102,INR,0.4,40.8,61.2,2020-04-21,2020-04-01,2020,April,"20-Apr"
Prod131,Cus020,Mark011,2020-04-22,1,102,INR,-0.27,-27.54,129.54,2020-04-22,2020-04-01,2020,April,"20-Apr"
Prod290,Cus020,Mark011,2020-04-24,1,102,INR,0.32,32.64,69.36,2020-04-24,2020-04-01,2020,April,"20-Apr"
Prod292,Cus020,Mark011,2020-04-30,1,102,INR,0.26,26.52,75.48,2020-04-30,2020-04-01,2020,April,"20-Apr"
Prod292,Cus020,Mark011,2020-05-04,1,102,INR,0.06,6.12,95.88,2020-05-04,2020-05-01,2020,May,"20-May"
Prod131,Cus020,Mark011,2020-05-05,1,102,INR,-0.1,-10.2,112.2,2020-05-05,2020-05-01,2020,May,"20-May"
Prod292,Cus020,Mark011,2020-05-05,1,102,INR,0.25,25.5,76.5,2020-05-05,2020-05-01,2020,May,"20-May"
